lemma,1830,1840,1850,sum
[REALIZE],254.0,304.0,332.0,890.0
[BEG],375.0,245.0,268.0,888.0
[SWEEP],227.0,331.0,330.0,888.0
[FORGIVE],325.0,292.0,268.0,885.0
[IMPRESS],264.0,328.0,291.0,883.0
[JUSTIFY],344.0,267.0,272.0,883.0
[DEPRIVE],303.0,290.0,290.0,883.0
[LABOR],247.0,293.0,341.0,881.0
[INCLUDE],292.0,294.0,295.0,881.0
[SPARE],313.0,308.0,255.0,876.0
[ADMIRE],303.0,253.0,319.0,875.0
[ASSIST],281.0,263.0,330.0,874.0
[SWEAR],310.0,312.0,252.0,874.0
[HASTEN],262.0,274.0,338.0,874.0
[REJECT],278.0,341.0,247.0,866.0
[GUARD],288.0,315.0,261.0,864.0
[BETRAY],318.0,297.0,249.0,864.0
[DISAPPEAR],257.0,299.0,306.0,862.0
[WANDER],271.0,281.0,309.0,861.0
[LAST],290.0,261.0,306.0,857.0
[COMMUNICATE],340.0,283.0,231.0,854.0
[TEAR],231.0,350.0,270.0,851.0
[BEAT],284.0,272.0,291.0,847.0
[DISTURB],245.0,304.0,294.0,843.0
[CONSTRUCT],257.0,230.0,353.0,840.0
[THREATEN],282.0,307.0,250.0,839.0
[ANNOUNCE],274.0,297.0,267.0,838.0
[EXCLUDE],263.0,275.0,298.0,836.0
[NEGLECT],285.0,249.0,301.0,835.0
[CONTEMPLATE],286.0,310.0,238.0,834.0
[IMPLY],239.0,331.0,261.0,831.0
[CONTEND],304.0,294.0,231.0,829.0
[RESUME],290.0,239.0,299.0,828.0
[BORE],265.0,302.0,261.0,828.0
[ESTIMATE],346.0,216.0,265.0,827.0
[PRESUME],297.0,294.0,234.0,825.0
[//],276.0,275.0,274.0,825.0
[PERSUADE],311.0,257.0,253.0,821.0
[ACCOUNT],280.0,273.0,268.0,821.0
[HURRY],238.0,263.0,318.0,819.0
[ELECT],329.0,274.0,214.0,817.0
[FORBID],252.0,258.0,306.0,816.0
[LIGHT],244.0,285.0,283.0,812.0
[PRETEND],327.0,248.0,236.0,811.0
[ACCUSTOM],232.0,288.0,291.0,811.0
[DISCUSS],247.0,243.0,320.0,810.0
[RESULT],271.0,263.0,275.0,809.0
[COMPREHEND],279.0,257.0,272.0,808.0
[PERISH],244.0,275.0,288.0,807.0
[PAUSE],229.0,246.0,330.0,805.0
[ARREST],229.0,295.0,281.0,805.0
[MOUNT],275.0,314.0,215.0,804.0
[VOTE],232.0,339.0,233.0,804.0
[SHARE],232.0,274.0,293.0,799.0
[OWN],261.0,253.0,284.0,798.0
[MANAGE],289.0,226.0,281.0,796.0
[LONG],241.0,263.0,292.0,796.0
[PAINT],220.0,217.0,358.0,795.0
[ANTICIPATE],288.0,238.0,266.0,792.0
[BLOW],245.0,245.0,301.0,791.0
[CONTROL],236.0,305.0,248.0,789.0
[REJOICE],234.0,296.0,254.0,784.0
[PUNISH],267.0,261.0,254.0,782.0
[LEAN],235.0,240.0,305.0,780.0
[RESIDE],281.0,310.0,184.0,775.0
[CONFIRM],305.0,263.0,206.0,774.0
[STRETCH],248.0,273.0,253.0,774.0
[VIEW],271.0,250.0,253.0,774.0
[EXPERIENCE],262.0,286.0,224.0,772.0
[LIMIT],261.0,235.0,274.0,770.0
[CONFER],286.0,242.0,239.0,767.0
