TextId,WordCount,Genre,Year
32335,7675,FIC,1998
33321,5698,FIC,1998
32353,2796,FIC,1999
32312,1813,FIC,1999
32015,6261,FIC,1999
32165,7759,FIC,1999
32285,3406,FIC,1999
32199,1763,FIC,1999
30487,4925,FIC,1999
30555,1369,FIC,1999
30591,4778,FIC,1999
30587,5039,FIC,1999
30565,2953,FIC,1999
30569,5454,FIC,1999
30667,2938,FIC,1999
30628,3030,FIC,1999
30602,5319,FIC,1999
30903,8365,FIC,1999
28742,3830,FIC,1999
28273,3436,FIC,1999
28274,7418,FIC,1999
29207,242,FIC,1999
29237,4258,FIC,1999
29333,2498,FIC,1999
29342,2374,FIC,1999
29343,2570,FIC,1999
29111,3362,FIC,1999
28105,1549,FIC,1999
28161,459,FIC,1999
27745,6672,FIC,1999
27976,4974,FIC,1999
27337,3080,FIC,1999
27719,5211,FIC,1999
30057,3436,FIC,1999
30059,820,FIC,1999
30055,3175,FIC,1999
29660,1051,FIC,1999
29507,2539,FIC,1999
29513,1666,FIC,1999
29492,812,FIC,1999
29906,5260,FIC,1999
29908,3357,FIC,1999
44261,5140,FIC,1999
44305,3348,FIC,1999
44306,4156,FIC,1999
44319,5109,FIC,1999
44326,2955,FIC,1999
44348,3105,FIC,1999
44351,2949,FIC,1999
44357,7512,FIC,1999
44358,3755,FIC,1999
44407,4847,FIC,1999
44426,3063,FIC,1999
44428,5416,FIC,1999
44503,4687,FIC,1999
44509,4895,FIC,1999
44568,6569,FIC,1999
44569,3998,FIC,1999
44634,6307,FIC,1999
44637,3152,FIC,1999
44640,11505,FIC,1999
44641,1369,FIC,1999
44749,8624,FIC,1999
44827,44207,FIC,1999
44942,2072,FIC,1999
45210,5036,FIC,1999
45240,2381,FIC,1999
45249,3067,FIC,1999
45257,2152,FIC,1999
45260,1977,FIC,1999
45261,2832,FIC,1999
45403,5188,FIC,1999
45407,2467,FIC,1999
45416,10089,FIC,1999
45417,5181,FIC,1999
13212,11603,FIC,1999
13203,9005,FIC,1999
55253,20901,FIC,1999
55266,3848,FIC,1999
55269,1530,FIC,1999
55353,6779,FIC,1999
55358,3616,FIC,1999
55362,7255,FIC,1999
55365,13927,FIC,1999
55615,6891,FIC,1999
55616,3758,FIC,1999
55618,5874,FIC,1999
55619,7034,FIC,1999
14552,4462,FIC,1999
16036,23802,FIC,1999
16192,24538,FIC,1999
16259,24866,FIC,1999
388655,1582,MAG,1990
388656,1249,MAG,1990
388657,6262,MAG,1990
388658,1651,MAG,1990
388659,1704,MAG,1990
388660,2518,MAG,1990
388662,2457,MAG,1990
388663,1113,MAG,1990
388664,2075,MAG,1990
388665,781,MAG,1990
388666,1565,MAG,1990
397058,1460,MAG,1990
397059,1329,MAG,1990
397060,1824,MAG,1990
397061,2032,MAG,1990
397062,1892,MAG,1990
397063,2281,MAG,1990
397100,3906,MAG,1990
397101,1695,MAG,1990
397102,1008,MAG,1990
397103,697,MAG,1990
397104,1058,MAG,1990
480959,7159,MAG,1990
480969,2747,MAG,1990
480979,3270,MAG,1990
480999,4375,MAG,1990
481009,1685,MAG,1990
481019,4504,MAG,1990
421215,3032,MAG,1990
421216,1143,MAG,1990
421217,3593,MAG,1990
421218,1709,MAG,1990
421219,2380,MAG,1990
421220,1856,MAG,1990
421221,658,MAG,1990
421514,4985,MAG,1990
419695,3015,MAG,1990
419699,2610,MAG,1990
419700,2490,MAG,1990
419704,3720,MAG,1990
419710,1964,MAG,1990
419747,4101,MAG,1990
419753,641,MAG,1990
419763,2406,MAG,1990
419764,2578,MAG,1990
419794,5754,MAG,1990
419795,5933,MAG,1990
419796,4378,MAG,1990
419844,1859,MAG,1990
419845,3704,MAG,1990
419846,3611,MAG,1990
419847,4151,MAG,1990
419848,3997,MAG,1990
419849,1687,MAG,1990
419850,4336,MAG,1990
419851,4174,MAG,1990
419852,5160,MAG,1990
419883,2820,MAG,1990
419884,1580,MAG,1990
419885,1935,MAG,1990
419886,2223,MAG,1990
419887,1969,MAG,1990
419888,2012,MAG,1990
419889,2580,MAG,1990
419890,2518,MAG,1990
419891,968,MAG,1990
419893,3754,MAG,1990
419894,3096,MAG,1990
419895,2175,MAG,1990
419896,2596,MAG,1990
419917,3449,MAG,1990
419918,2208,MAG,1990
419919,1925,MAG,1990
419920,3138,MAG,1990
419921,6454,MAG,1990
419922,3056,MAG,1990
419936,3171,MAG,1990
419937,2362,MAG,1990
419938,2684,MAG,1990
419959,1763,MAG,1990
419960,1285,MAG,1990
419961,3105,MAG,1990
419970,1298,MAG,1990
419971,962,MAG,1990
419972,1811,MAG,1990
419973,5990,MAG,1990
419974,3114,MAG,1990
419991,3361,MAG,1990
419992,3674,MAG,1990
419993,3715,MAG,1990
419994,1500,MAG,1990
419995,4151,MAG,1990
419996,3259,MAG,1990
419997,4032,MAG,1990
419998,1853,MAG,1990
419999,2315,MAG,1990
420000,3104,MAG,1990
420001,2698,MAG,1990
420002,1853,MAG,1990
420033,2326,MAG,1990
420037,5496,MAG,1990
420106,2669,MAG,1990
420107,1479,MAG,1990
420108,1532,MAG,1990
420109,1616,MAG,1990
420164,2484,MAG,1990
420165,3055,MAG,1990
420197,1572,MAG,1990
420198,1984,MAG,1990
420199,2143,MAG,1990
420200,3062,MAG,1990
420201,1468,MAG,1990
420259,2119,MAG,1990
420260,2507,MAG,1990
420262,2050,MAG,1990
420263,1679,MAG,1990
420264,1636,MAG,1990
420265,1291,MAG,1990
420266,2086,MAG,1990
420267,2891,MAG,1990
420268,2469,MAG,1990
420269,1705,MAG,1990
420270,2444,MAG,1990
420333,2280,MAG,1990
420392,1707,MAG,1990
420393,12154,MAG,1990
420394,16996,MAG,1990
420395,12246,MAG,1990
420396,4494,MAG,1990
420397,5949,MAG,1990
420398,5743,MAG,1990
420399,6097,MAG,1990
420443,1306,MAG,1990
420444,1615,MAG,1990
420445,2015,MAG,1990
420446,1886,MAG,1990
420447,8464,MAG,1990
420448,2204,MAG,1990
420449,1809,MAG,1990
420450,2192,MAG,1990
420451,2188,MAG,1990
420495,1491,MAG,1990
420496,1533,MAG,1990
420497,1874,MAG,1990
420498,2229,MAG,1990
420499,3112,MAG,1990
420500,1473,MAG,1990
420565,2132,MAG,1990
420566,6444,MAG,1990
420567,4779,MAG,1990
420568,6712,MAG,1990
420569,2150,MAG,1990
420570,1117,MAG,1990
420571,4287,MAG,1990
420572,1340,MAG,1990
420593,1427,MAG,1990
420594,3441,MAG,1990
420608,835,MAG,1990
420609,649,MAG,1990
420610,1604,MAG,1990
420611,1166,MAG,1990
420612,3362,MAG,1990
420613,4466,MAG,1990
420614,2543,MAG,1990
420615,2433,MAG,1990
420616,2539,MAG,1990
420617,2269,MAG,1990
420683,1573,MAG,1990
420684,1073,MAG,1990
420685,2284,MAG,1990
420686,1135,MAG,1990
420687,2437,MAG,1990
420688,3187,MAG,1990
420689,1175,MAG,1990
420690,2089,MAG,1990
420691,1147,MAG,1990
420692,1245,MAG,1990
420693,2129,MAG,1990
420694,3043,MAG,1990
420715,2183,MAG,1990
420716,2288,MAG,1990
420717,1079,MAG,1990
420718,1677,MAG,1990
420722,2627,MAG,1990
420726,4120,MAG,1990
420727,4964,MAG,1990
420728,4236,MAG,1990
420729,3908,MAG,1990
420730,4687,MAG,1990
420737,3197,MAG,1990
420738,1400,MAG,1990
420739,2024,MAG,1990
420740,1990,MAG,1990
420741,1897,MAG,1990
420742,3162,MAG,1990
420771,3007,MAG,1990
420772,1655,MAG,1990
