lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[WOMAN],11.0,6.0,8.0,8.0,10.0,19.0,16.0,35.0,22.0,23.0,27.0,28.0,22.0,16.0,13.0,20.0,20.0,17.0,24.0,345.0,3.026315789473684
[SUPPORT],15.0,11.0,19.0,16.0,15.0,12.0,11.0,12.0,9.0,23.0,19.0,28.0,22.0,20.0,25.0,28.0,29.0,16.0,14.0,344.0,3.017543859649123
[EXAMPLE],22.0,20.0,11.0,13.0,21.0,13.0,24.0,10.0,19.0,12.0,24.0,24.0,21.0,19.0,17.0,15.0,18.0,23.0,16.0,342.0,3.0
[AIR],28.0,40.0,39.0,26.0,23.0,21.0,19.0,14.0,14.0,13.0,15.0,12.0,14.0,10.0,19.0,8.0,12.0,4.0,9.0,340.0,2.982456140350877
[PROOF],54.0,30.0,37.0,25.0,45.0,10.0,17.0,34.0,19.0,13.0,6.0,7.0,8.0,7.0,8.0,7.0,4.0,3.0,1.0,335.0,2.93859649122807
[FACT],11.0,18.0,15.0,20.0,15.0,12.0,17.0,25.0,17.0,21.0,24.0,15.0,25.0,26.0,19.0,8.0,15.0,20.0,12.0,335.0,2.93859649122807
[POINT],27.0,29.0,15.0,16.0,13.0,20.0,22.0,14.0,23.0,19.0,11.0,10.0,21.0,17.0,22.0,18.0,18.0,10.0,9.0,334.0,2.9298245614035086
[DESCRIPTION],22.0,44.0,43.0,28.0,24.0,26.0,13.0,14.0,14.0,15.0,12.0,6.0,11.0,14.0,19.0,8.0,7.0,7.0,7.0,334.0,2.9298245614035086
[AUTHORITY],18.0,27.0,27.0,21.0,9.0,16.0,8.0,15.0,16.0,11.0,19.0,22.0,28.0,12.0,9.0,19.0,19.0,17.0,18.0,331.0,2.9035087719298245
[GOVERNMENT],16.0,26.0,28.0,12.0,28.0,12.0,12.0,13.0,18.0,12.0,27.0,24.0,20.0,18.0,16.0,12.0,15.0,9.0,11.0,329.0,2.8859649122807016
[SIGN],14.0,21.0,11.0,8.0,17.0,20.0,17.0,18.0,16.0,29.0,12.0,14.0,31.0,16.0,20.0,20.0,19.0,11.0,14.0,328.0,2.8771929824561404
[FOOD],10.0,5.0,15.0,13.0,15.0,26.0,14.0,18.0,16.0,25.0,23.0,27.0,30.0,16.0,15.0,17.0,15.0,8.0,19.0,327.0,2.8684210526315788
[LETTER],24.0,31.0,21.0,12.0,32.0,19.0,21.0,45.0,11.0,25.0,18.0,10.0,18.0,12.0,3.0,7.0,7.0,5.0,1.0,322.0,2.824561403508772
[HEART],37.0,40.0,39.0,17.0,37.0,17.0,23.0,20.0,10.0,8.0,9.0,9.0,7.0,10.0,5.0,9.0,10.0,5.0,9.0,321.0,2.8157894736842106
[VALUE],14.0,24.0,17.0,29.0,23.0,18.0,18.0,22.0,21.0,12.0,22.0,15.0,30.0,11.0,8.0,13.0,7.0,8.0,6.0,318.0,2.789473684210526
[LAW],26.0,27.0,39.0,26.0,20.0,16.0,23.0,16.0,14.0,11.0,22.0,8.0,15.0,6.0,10.0,17.0,6.0,6.0,6.0,314.0,2.754385964912281
[--],12.0,16.0,16.0,15.0,13.0,31.0,17.0,25.0,10.0,13.0,7.0,13.0,12.0,10.0,11.0,20.0,28.0,25.0,14.0,308.0,2.7017543859649122
[SIGNAL],27.0,9.0,19.0,16.0,15.0,19.0,16.0,22.0,11.0,17.0,23.0,19.0,26.0,18.0,9.0,8.0,13.0,6.0,13.0,306.0,2.6842105263157894
[ROOM],9.0,5.0,12.0,13.0,13.0,20.0,19.0,15.0,18.0,27.0,19.0,15.0,24.0,22.0,18.0,17.0,15.0,11.0,13.0,305.0,2.675438596491228
[WEIGHT],23.0,24.0,17.0,23.0,23.0,20.0,12.0,17.0,19.0,21.0,11.0,11.0,15.0,10.0,6.0,9.0,15.0,21.0,7.0,304.0,2.6666666666666665
[PART],23.0,19.0,17.0,9.0,17.0,20.0,24.0,20.0,21.0,21.0,16.0,23.0,12.0,17.0,8.0,11.0,15.0,6.0,5.0,304.0,2.6666666666666665
[SERVICE],2.0,7.0,7.0,7.0,8.0,4.0,7.0,10.0,17.0,21.0,35.0,28.0,51.0,25.0,27.0,18.0,10.0,10.0,6.0,300.0,2.6315789473684212
[FEEL],6.0,8.0,9.0,10.0,7.0,11.0,15.0,11.0,12.0,8.0,18.0,32.0,24.0,37.0,22.0,20.0,15.0,15.0,16.0,296.0,2.5964912280701755
[WARNING],6.0,20.0,18.0,9.0,11.0,17.0,21.0,26.0,17.0,26.0,12.0,22.0,24.0,11.0,12.0,15.0,10.0,6.0,12.0,295.0,2.587719298245614
[KIND],16.0,17.0,15.0,9.0,11.0,11.0,7.0,12.0,14.0,9.0,16.0,16.0,26.0,20.0,27.0,21.0,21.0,13.0,10.0,291.0,2.5526315789473686
[PRESENT],15.0,13.0,7.0,19.0,23.0,8.0,11.0,17.0,20.0,8.0,12.0,12.0,25.0,34.0,15.0,11.0,19.0,14.0,8.0,291.0,2.5526315789473686
