lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[HEAD],23.0,31.0,17.0,25.0,24.0,30.0,22.0,28.0,20.0,18.0,27.0,20.0,12.0,20.0,21.0,23.0,22.0,17.0,14.0,414.0,3.6315789473684212
[DRINK],4.0,7.0,12.0,7.0,11.0,24.0,29.0,8.0,10.0,19.0,20.0,36.0,41.0,32.0,47.0,34.0,22.0,22.0,23.0,408.0,3.5789473684210527
[COMMAND],29.0,24.0,23.0,17.0,20.0,28.0,22.0,19.0,30.0,22.0,23.0,19.0,33.0,13.0,11.0,32.0,12.0,8.0,18.0,403.0,3.5350877192982457
[WIFE],14.0,17.0,21.0,16.0,30.0,17.0,28.0,29.0,19.0,18.0,14.0,38.0,41.0,25.0,21.0,17.0,20.0,6.0,10.0,401.0,3.517543859649123
[ADVICE],34.0,22.0,22.0,27.0,19.0,31.0,20.0,26.0,12.0,16.0,21.0,25.0,18.0,20.0,29.0,16.0,11.0,15.0,14.0,398.0,3.491228070175439
[ROAD],31.0,15.0,6.0,20.0,26.0,22.0,12.0,38.0,18.0,24.0,34.0,17.0,30.0,9.0,13.0,14.0,14.0,23.0,28.0,394.0,3.456140350877193
[OPPORTUNITY],45.0,29.0,25.0,26.0,25.0,19.0,14.0,20.0,22.0,24.0,24.0,11.0,18.0,11.0,16.0,8.0,18.0,17.0,19.0,391.0,3.4298245614035086
[OTHER],22.0,23.0,20.0,18.0,28.0,21.0,20.0,22.0,21.0,32.0,19.0,18.0,26.0,29.0,14.0,12.0,19.0,15.0,11.0,390.0,3.4210526315789473
[HEART],35.0,18.0,26.0,33.0,27.0,13.0,21.0,24.0,29.0,29.0,13.0,18.0,14.0,7.0,20.0,19.0,12.0,10.0,20.0,388.0,3.4035087719298245
[PRIDE],18.0,8.0,15.0,8.0,8.0,15.0,13.0,16.0,22.0,26.0,10.0,28.0,27.0,36.0,26.0,38.0,26.0,17.0,27.0,384.0,3.3684210526315788
