textID,  # words  ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
10222," 60,509 ",FIC,1947,Second Growth,Wallace Stegner,,,n
10223," 62,664 ",FIC,1947,Middle of the Journey,Lionel Trilling,,,n
23524," 7,814 ",FIC,1947,The swami and Dr. Schultz,Seymour Freedgood,Harpers Magazine (194704) pages: 369-380,,n
23525," 5,708 ",FIC,1947,Sparrow's last jump,Elliott Grennard,Harpers Magazine (194705) pages: 419-426,,n
23538," 3,435 ",FIC,1947,Never hit a cripple,Maxwell Arnold,Harpers Magazine (194711) pages: 410-414,,n
23539," 5,399 ",FIC,1947,A drive in the country,Graham Greene,Harpers Magazine (194711) pages: 450-457,,n
23540," 5,035 ",FIC,1947,Benny and the tar-baby,John Watson,Harpers Magazine (194712) pages: 498-505,,n
23560," 2,446 ",FIC,1948,Dirty money,Hugh Rockwell,Harpers Magazine (194809) pages: 74-78,,n
23561," 4,773 ",FIC,1948,Meeting time,John Downing Weaver,Harpers Magazine (194810) pages: 54-61,,n
23562," 6,752 ",FIC,1948,Public address system,Jessamyn West,Harpers Magazine (194810) pages: 93-102,,n
10238," 51,906 ",FIC,1948,Fire,George R. Stewart,,,n
10239," 51,159 ",FIC,1948,Moth,James M. Cain,,,n
10240," 46,579 ",FIC,1948,Storm and Echo,Frederic Prokosch,,,n
10241," 62,014 ",FIC,1948,Guard of Honor,James Gould Cozzens,,,n
10258," 39,747 ",FIC,1949,Egyptian,Mika Waltari,,,n
14024," 25,866 ",FIC,1949,The Rat Race,"Kanin, Garson, 1912-1999",[Play script],,n
16123," 23,491 ",FIC,1949,Port of New York,"Murray, Bert, fl. 1949; Ross, Arthur A., fl. 1949",[Movie script],,n
23574," 2,585 ",FIC,1949,We don't know,Peter De Vries,Harpers Magazine (194904) pages: 99-102,,n
781955," 48,355 ",FIC,1949,Renegade's Trail,Abel Shott,Phoenix Press,,n
781956," 47,762 ",FIC,1949,Ruth,Irving Fineman,Harper & Brothers,,n
4433," 2,879 ",FIC,1949,The Sun King,"Derreaux, Gaston",[Short story] In: Chicago,,n
487448," 2,251 ",MAG,1940,The Shape of Things,,"The Nation: 12/28/1940, Vol. 151 Issue 26, p645-647, 3p",,n
487449," 1,799 ",MAG,1940,Editorials,"Kirchwey, Freda","The Nation: 12/28/1940, Vol. 151 Issue 26, p647-609, 3p",,n
487450," 3,243 ",MAG,1940,Between Two Worlds,"Nicolson, Harold","The Nation: 12/28/1940, Vol. 151 Issue 26, p651-654, 4p",,n
487451," 1,857 ",MAG,1940,Music and Monopoly,"Lederman, Minna","The Nation: 12/28/1940, Vol. 151 Issue 26, p655-657, 3p",,n
487452," 5,925 ",MAG,1940,Editorials,"Kirchwey, Freda","The Nation: 12/21/1940, Vol. 151 Issue 25, p617-624, 8p",,n
487453," 3,085 ",MAG,1940,The Hitler 'Revolution',"Swing, Raymond Gram","The Nation: 12/21/1940, Vol. 151 Issue 25, p626-629, 4p",,n
487454," 1,760 ",MAG,1940,A Talk with Philip Murray,"Stein, Rose M.","The Nation: 12/21/1940, Vol. 151 Issue 25, p629-631, 3p",,n
487455," 1,905 ",MAG,1940,Russia Revisited,"Joesten, Joachim","The Nation: 12/21/1940, Vol. 151 Issue 25, p631-633, 3p",,n
487456," 2,185 ",MAG,1940,The Talk of Ezra Pound,"Bishop, John Peale","The Nation: 12/21/1940, Vol. 151 Issue 25, p637-639, 3p",,n
487457, 857 ,MAG,1940,On Getting Tough,"Guérard, Albert","The Nation: 12/21/1940, Vol. 151 Issue 25, p637-637, 1/3p",,n
487458," 1,817 ",MAG,1940,The Shape of Things,,"The Nation: 12/14/1940, Vol. 151 Issue 24, p589-591, 3p",,n
487459," 3,181 ",MAG,1940,Editorials,"Kirchwey, Freda","The Nation: 12/14/1940, Vol. 151 Issue 24, p591-594, 4p",,n
487460," 1,609 ",MAG,1940,"Relief, Limited","Possony, Stefan Th.","The Nation: 12/14/1940, Vol. 151 Issue 24, p597-599, 3p",,n
487461," 2,569 ",MAG,1940,The Duty of the Emigre,"del Vayo, J. Alvarez","The Nation: 12/14/1940, Vol. 151 Issue 24, p599-601, 3p",,n
487462," 3,182 ",MAG,1940,The Indivisible War - III,"Bates, Ralph","The Nation: 12/14/1940, Vol. 151 Issue 24, p601-605, 5p",,n
487463," 1,261 ",MAG,1940,Notes by the Way,"Marshall, Margaret","The Nation: 12/14/1940, Vol. 151 Issue 24, p609-610, 3p",,n
487467," 2,473 ",MAG,1940,The Shape of Things,,"The Nation: 12/7/1940, Vol. 151 Issue 23, p545-547, 3p",,n
487865," 2,479 ",MAG,1940,The Shape of Things,,"The Nation: 10/26/1940, Vol. 151 Issue 17, p377-379, 3p",,n
487866," 2,440 ",MAG,1940,Editorials,,"The Nation: 10/26/1940, Vol. 151 Issue 17, p380-382, 3p",,n
487867," 1,751 ",MAG,1940,Willkie Sets In the West,"Neuberger, Richard L.","The Nation: 10/26/1940, Vol. 151 Issue 17, p384-386, 3p",,n
487868," 3,293 ",MAG,1940,Why I Am for Roosevelt,"Chamberlain, John<BR>Winant, John G.<BR>Brooks, Van Wyck<BR>Pinchot, Gifford<BR>Rosenberg, James N.","The Nation: 10/26/1940, Vol. 151 Issue 17, p386-390, 5p",,n
470697," 5,639 ",MAG,1940,War and the steel ghost towns,Harold J. Ruttenberg,Harpers: 1940-01 p. 147-155,,n
470698," 5,610 ",MAG,1940,The trail of the rooster,Leonard Bacon,Harpers: 1940-01 p. 156-164,,n
470704," 3,345 ",MAG,1940,[various],Lee Foster Hartman,Harpers: 1940-01 p. 225-235,,n
470707," 5,464 ",MAG,1940,Geography goes fluid,Earl Parker Hanson,Harpers: 1940-02 p. 245-253,,n
470708," 7,064 ",MAG,1940,The captain of the cargo,Frances Parkinson Keyes,Harpers: 1940-02 p. 254-264,,n
470717," 2,830 ",MAG,1940,[various],Lee Foster Hartman,Harpers: 1940-02 p. 337-347,,n
470718," 7,555 ",MAG,1940,The long watch in England,Arline Löhrke,Harpers: 1940-03 p. 337-349,,n
491173," 5,037 ",MAG,1940,DIME STORE,"Winkler, John K.<BR>Sparkes, Boyden","Saturday Evening Post: 2/3/1940, Vol. 212 Issue 32, p9-84, 5p",,n
491159," 5,426 ",MAG,1940,THE SONS OF TUGBOAT ANNIE,"Gehri, Alfred L.","Saturday Evening Post: 1/20/1940, Vol. 212 Issue 30, p20-78, 6p",,n
491163," 4,944 ",MAG,1940,GERMANS IN MEXICO,"Holton, Priscilla","Saturday Evening Post: 1/20/1940, Vol. 212 Issue 30, p29-71, 5p",,n
491150," 8,513 ",MAG,1940,WAR HAS LOST ITS POCKET,"Garrett, Garet","Saturday Evening Post: 1/13/1940, Vol. 212 Issue 29, p12-59, 7p",,n
491156," 4,580 ",MAG,1940,IRELAND IN A WARRING EUROPE,"Walsh, Maurice","Saturday Evening Post: 1/13/1940, Vol. 212 Issue 29, p27-44, 5p",,n
491157," 5,395 ",MAG,1940,HOW TO RAISE A CHILD,"Johnston, Alva<BR>Smith, Fred","Saturday Evening Post: 1/20/1940, Vol. 212 Issue 30, p9-96, 5p",,n
491152," 4,637 ",MAG,1940,REDHEAD FROM CAROLINA,"Newman, Harry","Saturday Evening Post: 1/13/1940, Vol. 212 Issue 29, p18-61, 5p",,n
148025, 363 ,MAG,1940,Homer v. Knox,,Time Magazine: 1940/01/08,,n
148026, 130 ,MAG,1940,Circulation Cheater,,Time Magazine: 1940/01/08,,n
148027, 174 ,MAG,1940,Miracles,,Time Magazine: 1940/01/08,,n
148028, 251 ,MAG,1940,Baptist Objections,,Time Magazine: 1940/01/08,,n
148029, 97 ,MAG,1940,Fire Out,,Time Magazine: 1940/01/08,,n
148030, 283 ,MAG,1940,Antipodean Wool,,Time Magazine: 1940/01/08,,n
148031, 525 ,MAG,1940,Stainless Stir,,Time Magazine: 1940/01/08,,n
148032, 475 ,MAG,1940,Scientific Snoopery,,Time Magazine: 1940/01/08,,n
148033, 407 ,MAG,1940,Death in Philadelphia,,Time Magazine: 1940/01/08,,n
148034, 483 ,MAG,1940,Neat Decision,,Time Magazine: 1940/01/08,,n
148035, 198 ,MAG,1940,"Young Men, Old Names",,Time Magazine: 1940/01/08,,n
148036, 379 ,MAG,1940,[Milestones],,Time Magazine: 1940/01/08,,n
148037, 351 ,MAG,1940,The New Pictures,,Time Magazine: 1940/01/08,,n
148124, 306 ,MAG,1940,High Noon,,Time Magazine: 1940/01/01,,n
148125, 312 ,MAG,1940,In the Dust,,Time Magazine: 1940/01/01,,n
148126, 531 ,MAG,1940,'Army in Being',,Time Magazine: 1940/01/01,,n
148127, 163 ,MAG,1940,Matching Game,,Time Magazine: 1940/01/01,,n
148128, 361 ,MAG,1940,Trades and Traders,,Time Magazine: 1940/01/01,,n
148129, 285 ,MAG,1940,"Interesting, If Not True",,Time Magazine: 1940/01/01,,n
148130, 507 ,MAG,1940,New Deal?,,Time Magazine: 1940/01/01,,n
148131, 496 ,MAG,1940,Man of the Year,,Time Magazine: 1940/01/01,,n
148132, 102 ,MAG,1940,Shortage,,Time Magazine: 1940/01/01,,n
148133, 509 ,MAG,1940,'Our Faith!',,Time Magazine: 1940/01/01,,n
148134, 210 ,MAG,1940,"Seventh, Eighth",,Time Magazine: 1940/01/01,,n
148135, 183 ,MAG,1940,National Treasure,,Time Magazine: 1940/01/01,,n
148136, 194 ,MAG,1940,New Ally,,Time Magazine: 1940/01/01,,n
148137, 386 ,MAG,1940,Relief,,Time Magazine: 1940/01/01,,n
148224, 390 ,MAG,1940,Neurotic Chestnut,,Time Magazine: 1940/01/22,,n
148225, 312 ,MAG,1940,Hormones for Gums,,Time Magazine: 1940/01/22,,n
148226, 479 ,MAG,1940,New Plays in Manhattan,,Time Magazine: 1940/01/22,,n
148227, 355 ,MAG,1940,Grandma Writes a Book,,Time Magazine: 1940/01/22,,n
148228, 151 ,MAG,1940,"Woollcott, Woolley & Webb",,Time Magazine: 1940/01/22,,n
148229, 443 ,MAG,1940,Great Dane,,Time Magazine: 1940/01/22,,n
148230, 390 ,MAG,1940,Saroyan's Love,,Time Magazine: 1940/01/22,,n
148231, 483 ,MAG,1940,Elmer,,Time Magazine: 1940/01/22,,n
148232, 547 ,MAG,1940,Heirs Apparent,,Time Magazine: 1940/01/22,,n
148233, 271 ,MAG,1940,Scmdo's Amber,,Time Magazine: 1940/01/22,,n
148234, 285 ,MAG,1940,First Date?,,Time Magazine: 1940/01/22,,n
148235, 473 ,MAG,1940,[People],,Time Magazine: 1940/01/22,,n
148236, 463 ,MAG,1940,Lost Balance,,Time Magazine: 1940/01/22,,n
148237, 471 ,MAG,1940,Trainload Lots,,Time Magazine: 1940/01/22,,n
148322, 229 ,MAG,1940,Odor of Soap,,Time Magazine: 1940/02/05,,n
148323, 267 ,MAG,1940,Handbook of Bondage,,Time Magazine: 1940/02/05,,n
148530, 309 ,MAG,1940,The New Picture,,Time Magazine: 1940/03/18,,n
148531, 54 ,MAG,1940,CURRENT & CHOICE,,Time Magazine: 1940/03/18,,n
148532, 383 ,MAG,1940,[Miscellany],,Time Magazine: 1940/03/18,,n
148533, 456 ,MAG,1940,Glamor Girl,,Time Magazine: 1940/03/18,,n
148534, 471 ,MAG,1940,Resurrection,,Time Magazine: 1940/03/18,,n
148535, 466 ,MAG,1940,Brilliance on Darkness,,Time Magazine: 1940/03/18,,n
148622, 510 ,MAG,1940,No. 1 Facist,,Time Magazine: 1940/04/08,,n
148623, 485 ,MAG,1940,Mackenzie King Wins,,Time Magazine: 1940/04/08,,n
148624, 397 ,MAG,1940,Son of Son of Sun,,Time Magazine: 1940/04/08,,n
148625, 505 ,MAG,1940,Year of Peace,,Time Magazine: 1940/04/08,,n
148626, 420 ,MAG,1940,Present & Future Plans,,Time Magazine: 1940/04/08,,n
148627, 422 ,MAG,1940,In the Far East,,Time Magazine: 1940/04/08,,n
148628, 495 ,MAG,1940,In the North,,Time Magazine: 1940/04/08,,n
148629, 541 ,MAG,1940,Fights of the Week,,Time Magazine: 1940/04/08,,n
148630, 243 ,MAG,1940,Open Season in Britain,,Time Magazine: 1940/04/08,,n
148631, 343 ,MAG,1940,Rivers Open,,Time Magazine: 1940/04/08,,n
148632, 397 ,MAG,1940,Freedom of Faith,,Time Magazine: 1940/04/08,,n
148633, 334 ,MAG,1940,Episcopalians and Divorce,,Time Magazine: 1940/04/08,,n
148634, 236 ,MAG,1940,It Was All Adam's Fault,,Time Magazine: 1940/04/08,,n
148635, 479 ,MAG,1940,Tom Shows,,Time Magazine: 1940/04/08,,n
148722, 225 ,MAG,1940,[Miscellany],,Time Magazine: 1940/04/22,,n
148723, 405 ,MAG,1940,The Bathroom Beautiful,,Time Magazine: 1940/04/22,,n
148724, 181 ,MAG,1940,Naval Art,,Time Magazine: 1940/04/22,,n
148725, 331 ,MAG,1940,Screwball Art,,Time Magazine: 1940/04/22,,n
148726, 389 ,MAG,1940,Grass for Health,,Time Magazine: 1940/04/22,,n
148727, 473 ,MAG,1940,Who Discovered Anesthesia?,,Time Magazine: 1940/04/22,,n
148728, 386 ,MAG,1940,New Syphilis Cure,,Time Magazine: 1940/04/22,,n
148729, 502 ,MAG,1940,[Milestones],,Time Magazine: 1940/04/22,,n
148730, 199 ,MAG,1940,Machines for Jobs,,Time Magazine: 1940/04/22,,n
148731, 457 ,MAG,1940,Scandinavia Closed,,Time Magazine: 1940/04/22,,n
148732, 444 ,MAG,1940,Quicksilver Renaissance,,Time Magazine: 1940/04/22,,n
148733, 446 ,MAG,1940,Trailer-maker,,Time Magazine: 1940/04/22,,n
148734, 494 ,MAG,1940,One-Man Gas Company,,Time Magazine: 1940/04/22,,n
148735, 332 ,MAG,1940,More Equities for the Public,,Time Magazine: 1940/04/22,,n
148822, 377 ,MAG,1940,Seven for a Job,,Time Magazine: 1940/06/10,,n
148823, 452 ,MAG,1940,Smothered in Aliens,,Time Magazine: 1940/06/10,,n
148824, 390 ,MAG,1940,Taxes for Defense,,Time Magazine: 1940/06/10,,n
148825, 434 ,MAG,1940,Winter in South America,,Time Magazine: 1940/06/10,,n
148826, 474 ,MAG,1940,Moffat to Ottawa,,Time Magazine: 1940/06/10,,n
148827, 183 ,MAG,1940,Refugees in Dinner Coats,,Time Magazine: 1940/06/10,,n
148828, 465 ,MAG,1940,Fifth Column,,Time Magazine: 1940/06/10,,n
148829, 464 ,MAG,1940,Sixth Washington,,Time Magazine: 1940/06/10,,n
148830, 485 ,MAG,1940,Memphis Blues,,Time Magazine: 1940/06/10,,n
148831, 529 ,MAG,1940,Cockiest Fellow,,Time Magazine: 1940/06/10,,n
148832, 450 ,MAG,1940,Defense of France,,Time Magazine: 1940/06/10,,n
148833, 432 ,MAG,1940,Battle to the Sea,,Time Magazine: 1940/06/10,,n
148834, 242 ,MAG,1940,Song Switch,,Time Magazine: 1940/06/10,,n
148835, 495 ,MAG,1940,Indestructible Dietl,,Time Magazine: 1940/06/10,,n
148921, 282 ,MAG,1940,Dictator Ruffled,,Time Magazine: 1940/06/24,,n
148922, 226 ,MAG,1940,Bells Unveiled,,Time Magazine: 1940/06/24,,n
148923, 304 ,MAG,1940,Pope's Paper,,Time Magazine: 1940/06/24,,n
148924, 388 ,MAG,1940,Witnesses in Trouble,,Time Magazine: 1940/06/24,,n
148925, 305 ,MAG,1940,New President for A. M. A,,Time Magazine: 1940/06/24,,n
148926, 504 ,MAG,1940,Doctors' Fair,,Time Magazine: 1940/06/24,,n
148927, 452 ,MAG,1940,Irradiated Blood,,Time Magazine: 1940/06/24,,n
148928, 231 ,MAG,1940,War Plans,,Time Magazine: 1940/06/24,,n
148929, 308 ,MAG,1940,Song Suppressed,,Time Magazine: 1940/06/24,,n
148930, 182 ,MAG,1940,Stokowski's Chosen,,Time Magazine: 1940/06/24,,n
148931, 182 ,MAG,1940,Petrillo for Weber,,Time Magazine: 1940/06/24,,n
148932, 482 ,MAG,1940,[People],,Time Magazine: 1940/06/24,,n
148933, 321 ,MAG,1940,Summer Shows,,Time Magazine: 1940/06/24,,n
148934, 488 ,MAG,1940,Bad News for the Networks,,Time Magazine: 1940/06/24,,n
149021, 307 ,MAG,1940,Willkie Takes His Shoes Off,,Time Magazine: 1940/01/22,,n
149022, 514 ,MAG,1940,Mystery Story,,Time Magazine: 1940/06/22,,n
149023, 272 ,MAG,1940,Lady Candidate,,Time Magazine: 1940/01/22,,n
149024, 462 ,MAG,1940,Unwanted Island,,Time Magazine: 1940/01/22,,n
149025, 505 ,MAG,1940,Getting Tough,,Time Magazine: 1940/01/22,,n
149026, 299 ,MAG,1940,Union Now,,Time Magazine: 1940/01/22,,n
149027, 508 ,MAG,1940,Interim Report,,Time Magazine: 1940/01/22,,n
149028, 468 ,MAG,1940,"'Free Speech, Hell!'",,Time Magazine: 1940/01/22,,n
149029, 480 ,MAG,1940,Hatched by Dempsey,,Time Magazine: 1940/01/22,,n
149030, 419 ,MAG,1940,Object Lesson,,Time Magazine: 1940/01/22,,n
149031, 109 ,MAG,1940,Work Done,,Time Magazine: 1940/01/22,,n
149032, 418 ,MAG,1940,Two in a Plane,,Time Magazine: 1940/01/22,,n
149033, 461 ,MAG,1940,If Britain Should Lose,,Time Magazine: 1940/01/22,,n
149034, 506 ,MAG,1940,Obituary of a Republic,,Time Magazine: 1940/01/22,,n
149120, 228 ,MAG,1940,Fire for Fun,,Time Magazine: 1940/01/29,,n
149121, 451 ,MAG,1940,Approach to Absolute,,Time Magazine: 1940/01/29,,n
149122, 184 ,MAG,1940,Twilight Sleep,,Time Magazine: 1940/01/29,,n
149123, 235 ,MAG,1940,The Path of Progress,,Time Magazine: 1940/01/29,,n
149620, 442 ,MAG,1940,Rogues' Gallery,,Time Magazine: 1940/09/30,,n
149621, 510 ,MAG,1940,[Letters],,Time Magazine: 1940/10/14,,n
149622, 336 ,MAG,1940,[Miscellany],,Time Magazine: 1940/10/14,,n
149623, 478 ,MAG,1940,Getting Restless,,Time Magazine: 1940/10/14,,n
149624, 484 ,MAG,1940,'Terribly Late',,Time Magazine: 1940/10/14,,n
149625, 430 ,MAG,1940,Willkie's Case,,Time Magazine: 1940/10/14,,n
149626, 424 ,MAG,1940,Every Man in His Humor,,Time Magazine: 1940/10/14,,n
149627, 485 ,MAG,1940,F. D. R.'s Dilemma,,Time Magazine: 1940/10/14,,n
149628, 421 ,MAG,1940,Cleveland's Mayor,,Time Magazine: 1940/10/14,,n
149629, 332 ,MAG,1940,Mrs. Lindbergh Speaks Out,,Time Magazine: 1940/10/14,,n
149921, 252 ,MAG,1940,The Last Time I Saw Paris,,Time Magazine: 1940/12/23,,n
149922, 298 ,MAG,1940,Jazzmen off Beat,,Time Magazine: 1940/12/23,,n
149923, 319 ,MAG,1940,Music in the White House,,Time Magazine: 1940/12/23,,n
149924, 199 ,MAG,1940,Hollywood Art,,Time Magazine: 1940/12/23,,n
149925, 407 ,MAG,1940,Republicans in San Francisco,,Time Magazine: 1940/12/23,,n
149926, 315 ,MAG,1940,Too Much to Bear,,Time Magazine: 1940/12/23,,n
149927, 555 ,MAG,1940,After the Bell,,Time Magazine: 1940/12/23,,n
149928, 484 ,MAG,1940,High I. Q,,Time Magazine: 1940/12/23,,n
491677," 6,098 ",MAG,1940,#NAME?,"Turner, Fred H.<SUP>1</SUP>","Saturday Evening Post: 3/2/1940, Vol. 212 Issue 36, p27-38, 5p",,n
491609," 4,877 ",MAG,1940,SOUTH OF THE BORDER,"Piña, Roberto","Saturday Evening Post: 2/24/1940, Vol. 212 Issue 35, p29-76, 5p",,n
491610," 6,073 ",MAG,1940,THE AAA IN ITS OWN DUST BOWL,"Garrett, Garet","Saturday Evening Post: 3/2/1940, Vol. 212 Issue 36, p12-63, 6p",,n
491614," 6,178 ",MAG,1940,GARDENS FOR THE STARS,"Adams, Charles Gibbs<BR>Taylor, Frank J.","Saturday Evening Post: 3/2/1940, Vol. 212 Issue 36, p18-74, 6p",,n
491553," 7,364 ",MAG,1940,"100,000 QUAKERS MAY BE RIGHT","High, Stanley","Saturday Evening Post: 2/17/1940, Vol. 212 Issue 34, p14-42, 6p",,n
491564," 4,815 ",MAG,1940,THE POLITICAL OLYMPICS,"Moses, Robert","Saturday Evening Post: 2/24/1940, Vol. 212 Issue 35, p12-39, 5p",,n
155257, 502 ,MAG,1940,Tanks from A. C. F,,Time Magazine: 1940/08/05,,n
155258, 166 ,MAG,1940,Color-Blind Observers,,Time Magazine: 1940/08/05,,n
155259, 168 ,MAG,1940,Gadget,,Time Magazine: 1940/08/05,,n
155260, 106 ,MAG,1940,Back to Moth Balls,,Time Magazine: 1940/08/05,,n
155261, 484 ,MAG,1940,'Solidarity Has Triumphed',,Time Magazine: 1940/08/05,,n
155262, 146 ,MAG,1940,Homecoming,,Time Magazine: 1940/08/05,,n
155263, 489 ,MAG,1940,Sales Talks at Salzburg,,Time Magazine: 1940/08/05,,n
155264, 469 ,MAG,1940,'Hour of Truth',,Time Magazine: 1940/08/05,,n
155265, 271 ,MAG,1940,Death of a Countess,,Time Magazine: 1940/08/05,,n
155266, 493 ,MAG,1940,Fruits of Victory,,Time Magazine: 1940/08/05,,n
155267, 281 ,MAG,1940,Goring to the U.S,,Time Magazine: 1940/08/05,,n
155268, 207 ,MAG,1940,Blast from the Ruins,,Time Magazine: 1940/08/05,,n
155269, 345 ,MAG,1940,Little Man's Budget,,Time Magazine: 1940/08/05,,n
155270, 475 ,MAG,1940,Union v. State,,Time Magazine: 1940/08/05,,n
155356, 308 ,MAG,1940,"'Our City, Yours & Mine'",,Time Magazine: 1940/12/02,,n
155357, 393 ,MAG,1940,Oldtimer Up,,Time Magazine: 1940/12/02,,n
222898, 204 ,MAG,1940,Musical Offering,,Time Magazine: 1940/01/29,,n
222899, 315 ,MAG,1940,Children's Decennial,,Time Magazine: 1940/01/29,,n
222900, 227 ,MAG,1940,Fat Stuff,,Time Magazine: 1940/01/29,,n
222901, 459 ,MAG,1940,'Murder!',,Time Magazine: 1940/01/29,,n
222902, 366 ,MAG,1940,As to War,,Time Magazine: 1940/01/29,,n
222903, 219 ,MAG,1940,'Old Adam',,Time Magazine: 1940/01/29,,n
222904, 287 ,MAG,1940,"Again, Bingo",,Time Magazine: 1940/01/29,,n
222905, 236 ,MAG,1940,Crossley Tops,,Time Magazine: 1940/01/29,,n
222906, 468 ,MAG,1940,Opry Night,,Time Magazine: 1940/01/29,,n
222907, 480 ,MAG,1940,War Fugues,,Time Magazine: 1940/01/29,,n
222993, 495 ,MAG,1940,Crisis Eclipsed,,Time Magazine: 1940/11/11,,n
222994, 88 ,MAG,1940,ELECTION EXTRA!,,Time Magazine: 1940/11/11,,n
222995, 523 ,MAG,1940,Early's Temper,,Time Magazine: 1940/11/11,,n
222996, 371 ,MAG,1940,Stentorian Dialogue,,Time Magazine: 1940/11/11,,n
222997, 460 ,MAG,1940,"Lies, Curses and Bastardies",,Time Magazine: 1940/11/11,,n
222998, 421 ,MAG,1940,Last Words,,Time Magazine: 1940/11/11,,n
222999, 299 ,MAG,1940,Last Predictions,,Time Magazine: 1940/11/11,,n
